address,time,value
0014.4F01.0000.0145,2013-09-26 12:28:39.01,30.0
0014.4F01.0000.3560,2013-09-26 12:28:41.854,30.1
0014.4F01.0000.0145,2013-09-26 12:28:42.011,29.75
0014.4F01.0000.3560,2013-09-26 12:28:44.855,30.1
0014.4F01.0000.0145,2013-09-26 12:28:45.014,30.0
0014.4F01.0000.3560,2013-09-26 12:28:47.856,29.6
0014.4F01.0000.0145,2013-09-26 12:28:48.015,30.0
0014.4F01.0000.3560,2013-09-26 12:28:50.857,29.6
0014.4F01.0000.0145,2013-09-26 12:28:51.016,29.75
0014.4F01.0000.3560,2013-09-26 12:28:53.858,29.8
0014.4F01.0000.0145,2013-09-26 12:28:54.017,29.5
0014.4F01.0000.3560,2013-09-26 12:28:56.859,29.6
0014.4F01.0000.0145,2013-09-26 12:28:57.02,29.5
0014.4F01.0000.3560,2013-09-26 12:28:59.86,29.3
0014.4F01.0000.0145,2013-09-26 12:29:00.021,30.0
0014.4F01.0000.3560,2013-09-26 12:29:02.861,29.8
0014.4F01.0000.3560,2013-09-26 12:29:05.862,29.6
0014.4F01.0000.0145,2013-09-26 12:29:06.023,29.75
0014.4F01.0000.3560,2013-09-26 12:29:08.864,29.3
0014.4F01.0000.0145,2013-09-26 12:29:09.025,29.5
0014.4F01.0000.3560,2013-09-26 12:29:11.865,29.8
0014.4F01.0000.0145,2013-09-26 12:29:12.026,30.0
0014.4F01.0000.3560,2013-09-26 12:29:14.866,29.8
0014.4F01.0000.0145,2013-09-26 12:29:15.027,30.0
0014.4F01.0000.3560,2013-09-26 12:29:17.867,29.0
0014.4F01.0000.0145,2013-09-26 12:29:18.028,29.5
0014.4F01.0000.0145,2013-09-26 12:29:21.031,29.75
0014.4F01.0000.3560,2013-09-26 12:29:23.871,29.6
0014.4F01.0000.0145,2013-09-26 12:29:24.032,29.75
0014.4F01.0000.3560,2013-09-26 12:29:26.872,29.8
0014.4F01.0000.0145,2013-09-26 12:29:27.033,29.75
0014.4F01.0000.3560,2013-09-26 12:29:29.875,29.0
0014.4F01.0000.0145,2013-09-26 12:29:30.034,29.5
0014.4F01.0000.3560,2013-09-26 12:29:32.877,29.6
0014.4F01.0000.0145,2013-09-26 12:29:33.037,30.0
0014.4F01.0000.3560,2013-09-26 12:29:35.879,29.8
0014.4F01.0000.0145,2013-09-26 12:29:36.038,29.25
0014.4F01.0000.3560,2013-09-26 12:29:38.88,29.3
0014.4F01.0000.0145,2013-09-26 12:29:39.039,29.25
0014.4F01.0000.3560,2013-09-26 12:29:41.881,29.0
0014.4F01.0000.0145,2013-09-26 12:29:45.043,29.5
0014.4F01.0000.3560,2013-09-26 12:29:47.883,29.3
0014.4F01.0000.0145,2013-09-26 12:29:48.044,29.25
0014.4F01.0000.3560,2013-09-26 12:29:50.884,29.0
0014.4F01.0000.3560,2013-09-26 12:29:53.885,29.6
0014.4F01.0000.0145,2013-09-26 12:29:54.046,29.75
0014.4F01.0000.3560,2013-09-26 12:29:56.886,29.6
0014.4F01.0000.0145,2013-09-26 12:29:57.048,29.5
0014.4F01.0000.3560,2013-09-26 12:29:59.887,29.8
0014.4F01.0000.0145,2013-09-26 12:30:00.049,29.75
0014.4F01.0000.3560,2013-09-26 12:30:02.888,29.6
0014.4F01.0000.0145,2013-09-26 12:30:03.05,29.75
0014.4F01.0000.3560,2013-09-26 12:30:05.889,29.6
0014.4F01.0000.0145,2013-09-26 12:30:06.051,29.75
0014.4F01.0000.3560,2013-09-26 12:30:08.89,29.8
0014.4F01.0000.0145,2013-09-26 12:30:09.054,29.5
0014.4F01.0000.3560,2013-09-26 12:30:11.891,29.0
0014.4F01.0000.0145,2013-09-26 12:30:12.055,29.75
0014.4F01.0000.3560,2013-09-26 12:30:14.893,29.3
0014.4F01.0000.0145,2013-09-26 12:30:15.056,29.5
0014.4F01.0000.3560,2013-09-26 12:30:17.894,29.8
0014.4F01.0000.0145,2013-09-26 12:30:18.057,29.5
0014.4F01.0000.3560,2013-09-26 12:30:20.899,29.6
0014.4F01.0000.0145,2013-09-26 12:30:21.06,29.5
0014.4F01.0000.3560,2013-09-26 12:30:23.9,29.6
0014.4F01.0000.0145,2013-09-26 12:30:24.061,29.25
0014.4F01.0000.0145,2013-09-26 12:30:27.062,29.5
0014.4F01.0000.3560,2013-09-26 12:30:26.908,29.8
0014.4F01.0000.3560,2013-09-26 12:30:29.91,29.6
0014.4F01.0000.0145,2013-09-26 12:30:30.063,29.75
0014.4F01.0000.3560,2013-09-26 12:30:32.914,29.0
0014.4F01.0000.0145,2013-09-26 12:30:33.064,30.0
0014.4F01.0000.3560,2013-09-26 12:30:35.915,29.6
0014.4F01.0000.0145,2013-09-26 12:30:36.065,29.25
0014.4F01.0000.3560,2013-09-26 12:30:38.916,29.6
0014.4F01.0000.0145,2013-09-26 12:30:39.066,29.5
0014.4F01.0000.3560,2013-09-26 12:30:41.921,29.0
0014.4F01.0000.0145,2013-09-26 12:30:42.068,29.5
0014.4F01.0000.3560,2013-09-26 12:30:44.922,29.3
0014.4F01.0000.0145,2013-09-26 12:30:45.069,29.5
0014.4F01.0000.3560,2013-09-26 12:30:47.923,29.8
0014.4F01.0000.0145,2013-09-26 12:30:48.07,29.0
0014.4F01.0000.3560,2013-09-26 12:30:50.924,29.3
0014.4F01.0000.0145,2013-09-26 12:30:51.071,29.75
0014.4F01.0000.3560,2013-09-26 12:30:53.925,29.6
0014.4F01.0000.0145,2013-09-26 12:30:54.074,29.5
0014.4F01.0000.3560,2013-09-26 12:30:56.93,29.8
0014.4F01.0000.3560,2013-09-26 12:30:59.932,29.0
0014.4F01.0000.0145,2013-09-26 12:31:00.076,29.0
0014.4F01.0000.3560,2013-09-26 12:31:02.933,29.3
0014.4F01.0000.0145,2013-09-26 12:31:03.077,29.5
0014.4F01.0000.3560,2013-09-26 12:31:05.934,29.0
0014.4F01.0000.0145,2013-09-26 12:31:06.08,29.5
0014.4F01.0000.3560,2013-09-26 12:31:08.936,29.6
0014.4F01.0000.0145,2013-09-26 12:31:09.081,29.25
0014.4F01.0000.3560,2013-09-26 12:31:11.942,29.3
0014.4F01.0000.0145,2013-09-26 12:31:12.082,29.0
0014.4F01.0000.3560,2013-09-26 12:31:14.945,29.0
0014.4F01.0000.0145,2013-09-26 12:31:15.083,29.5
0014.4F01.0000.3560,2013-09-26 12:31:17.946,29.8
0014.4F01.0000.0145,2013-09-26 12:31:18.086,29.5
0014.4F01.0000.3560,2013-09-26 12:31:20.947,29.6
0014.4F01.0000.0145,2013-09-26 12:31:21.087,29.0
0014.4F01.0000.3560,2013-09-26 12:31:23.948,29.3
0014.4F01.0000.0145,2013-09-26 12:31:24.088,29.25
0014.4F01.0000.3560,2013-09-26 12:31:26.95,29.6
0014.4F01.0000.0145,2013-09-26 12:31:27.089,29.5
0014.4F01.0000.3560,2013-09-26 12:31:29.95,29.3
0014.4F01.0000.0145,2013-09-26 12:31:30.091,29.25
0014.4F01.0000.3560,2013-09-26 12:31:32.951,29.0
0014.4F01.0000.0145,2013-09-26 12:31:33.092,29.5
