address,time,value
0014.4F01.0000.35EC,2013-09-18 15:39:25.903,28
0014.4F01.0000.7811,2013-09-18 15:39:26.972,24
0014.4F01.0000.3560,2013-09-18 15:39:28.644,26
0014.4F01.0000.35EC,2013-09-18 15:39:28.904,28
0014.4F01.0000.7811,2013-09-18 15:39:29.973,24
0014.4F01.0000.3560,2013-09-18 15:39:31.644,26
0014.4F01.0000.35EC,2013-09-18 15:39:31.905,28
0014.4F01.0000.7811,2013-09-18 15:39:32.974,24
0014.4F01.0000.3560,2013-09-18 15:39:34.645,27
0014.4F01.0000.35EC,2013-09-18 15:39:34.909,28
0014.4F01.0000.7811,2013-09-18 15:39:35.975,24
0014.4F01.0000.3560,2013-09-18 15:39:37.646,27
0014.4F01.0000.35EC,2013-09-18 15:39:37.91,28
0014.4F01.0000.7811,2013-09-18 15:39:38.976,24
0014.4F01.0000.3560,2013-09-18 15:39:40.647,27
0014.4F01.0000.35EC,2013-09-18 15:39:40.911,28
0014.4F01.0000.7811,2013-09-18 15:39:41.977,24
0014.4F01.0000.3560,2013-09-18 15:39:43.648,27
0014.4F01.0000.35EC,2013-09-18 15:39:43.912,28
0014.4F01.0000.7811,2013-09-18 15:39:44.978,25
0014.4F01.0000.3560,2013-09-18 15:39:46.649,27
0014.4F01.0000.35EC,2013-09-18 15:39:46.913,28
0014.4F01.0000.7811,2013-09-18 15:39:47.979,24
0014.4F01.0000.3560,2013-09-18 15:39:49.654,27
0014.4F01.0000.35EC,2013-09-18 15:39:49.914,28
0014.4F01.0000.7811,2013-09-18 15:39:50.98,24
0014.4F01.0000.3560,2013-09-18 15:39:52.655,27
0014.4F01.0000.35EC,2013-09-18 15:39:52.915,27
0014.4F01.0000.7811,2013-09-18 15:39:53.981,24
0014.4F01.0000.3560,2013-09-18 15:39:55.656,26
0014.4F01.0000.35EC,2013-09-18 15:39:55.916,27
0014.4F01.0000.7811,2013-09-18 15:39:56.982,24
0014.4F01.0000.3560,2013-09-18 15:39:58.657,27
0014.4F01.0000.35EC,2013-09-18 15:39:58.917,27
0014.4F01.0000.7811,2013-09-18 15:39:59.983,24
0014.4F01.0000.3560,2013-09-18 15:40:01.658,27
0014.4F01.0000.35EC,2013-09-18 15:40:01.919,27
0014.4F01.0000.7811,2013-09-18 15:40:02.984,25
0014.4F01.0000.3560,2013-09-18 15:40:04.659,26
0014.4F01.0000.35EC,2013-09-18 15:40:04.92,27
0014.4F01.0000.7811,2013-09-18 15:40:05.985,25
0014.4F01.0000.3560,2013-09-18 15:40:07.66,26
0014.4F01.0000.35EC,2013-09-18 15:40:07.921,27
0014.4F01.0000.7811,2013-09-18 15:40:08.986,25
0014.4F01.0000.3560,2013-09-18 15:40:10.662,27
0014.4F01.0000.35EC,2013-09-18 15:40:10.922,27
0014.4F01.0000.7811,2013-09-18 15:40:11.987,25
0014.4F01.0000.3560,2013-09-18 15:40:13.663,27
0014.4F01.0000.35EC,2013-09-18 15:40:13.923,27
0014.4F01.0000.7811,2013-09-18 15:40:14.988,24
0014.4F01.0000.3560,2013-09-18 15:40:16.664,27
0014.4F01.0000.35EC,2013-09-18 15:40:16.924,27
0014.4F01.0000.7811,2013-09-18 15:40:17.989,25
0014.4F01.0000.3560,2013-09-18 15:40:19.665,27
0014.4F01.0000.35EC,2013-09-18 15:40:19.925,27
0014.4F01.0000.7811,2013-09-18 15:40:20.99,25
0014.4F01.0000.3560,2013-09-18 15:40:22.666,26
0014.4F01.0000.35EC,2013-09-18 15:40:22.926,27
0014.4F01.0000.7811,2013-09-18 15:40:23.991,25
0014.4F01.0000.3560,2013-09-18 15:40:25.667,27
0014.4F01.0000.35EC,2013-09-18 15:40:25.927,27
0014.4F01.0000.7811,2013-09-18 15:40:26.992,25
0014.4F01.0000.3560,2013-09-18 15:40:28.668,27
0014.4F01.0000.35EC,2013-09-18 15:40:28.928,27
0014.4F01.0000.7811,2013-09-18 15:40:29.992,25
0014.4F01.0000.3560,2013-09-18 15:40:31.669,27
0014.4F01.0000.35EC,2013-09-18 15:40:31.929,27
0014.4F01.0000.7811,2013-09-18 15:40:32.993,25
0014.4F01.0000.3560,2013-09-18 15:40:34.671,26
0014.4F01.0000.35EC,2013-09-18 15:40:34.93,28
0014.4F01.0000.3560,2013-09-18 15:40:37.673,27
0014.4F01.0000.35EC,2013-09-18 15:40:37.931,28
0014.4F01.0000.7811,2013-09-18 15:40:38.995,25
0014.4F01.0000.3560,2013-09-18 15:40:40.674,27
0014.4F01.0000.35EC,2013-09-18 15:40:40.932,28
0014.4F01.0000.7811,2013-09-18 15:40:41.996,25
0014.4F01.0000.3560,2013-09-18 15:40:43.675,26
0014.4F01.0000.35EC,2013-09-18 15:40:43.933,28
0014.4F01.0000.7811,2013-09-18 15:40:44.997,25
0014.4F01.0000.3560,2013-09-18 15:40:46.676,27
0014.4F01.0000.35EC,2013-09-18 15:40:46.934,28
0014.4F01.0000.7811,2013-09-18 15:40:47.998,25
0014.4F01.0000.3560,2013-09-18 15:40:49.677,26
0014.4F01.0000.7811,2013-09-18 15:40:50.999,25
0014.4F01.0000.3560,2013-09-18 15:40:52.678,27
0014.4F01.0000.35EC,2013-09-18 15:40:52.937,28
0014.4F01.0000.7811,2013-09-18 15:40:54.0,25
0014.4F01.0000.3560,2013-09-18 15:40:55.679,27
0014.4F01.0000.35EC,2013-09-18 15:40:55.938,28
0014.4F01.0000.7811,2013-09-18 15:40:57.001,25
0014.4F01.0000.3560,2013-09-18 15:40:58.68,27
0014.4F01.0000.35EC,2013-09-18 15:40:58.939,28
