address,time,value
0014.4F01.0000.3560,2013-09-18 15:13:06.819,77
0014.4F01.0000.3560,2013-09-18 15:13:09.82,77
0014.4F01.0000.3560,2013-09-18 15:13:12.821,78
0014.4F01.0000.3560,2013-09-18 15:13:15.822,77
0014.4F01.0000.3560,2013-09-18 15:13:18.823,78
0014.4F01.0000.3560,2013-09-18 15:13:21.826,78
0014.4F01.0000.3560,2013-09-18 15:13:24.828,78
0014.4F01.0000.3560,2013-09-18 15:13:27.829,78
0014.4F01.0000.3560,2013-09-18 15:13:30.83,78
0014.4F01.0000.7811,2013-09-18 15:13:31.158,75
0014.4F01.0000.3560,2013-09-18 15:13:33.832,77
0014.4F01.0000.7811,2013-09-18 15:13:34.159,75
0014.4F01.0000.3560,2013-09-18 15:13:36.833,78
0014.4F01.0000.7811,2013-09-18 15:13:37.16,75
0014.4F01.0000.3560,2013-09-18 15:13:39.835,79
0014.4F01.0000.7811,2013-09-18 15:13:40.161,75
0014.4F01.0000.3560,2013-09-18 15:13:42.836,79
0014.4F01.0000.7811,2013-09-18 15:13:43.162,75
0014.4F01.0000.3560,2013-09-18 15:13:45.837,78
0014.4F01.0000.7811,2013-09-18 15:13:46.163,75
0014.4F01.0000.3560,2013-09-18 15:13:48.838,78
0014.4F01.0000.7811,2013-09-18 15:13:49.164,75
0014.4F01.0000.3560,2013-09-18 15:13:51.843,79
0014.4F01.0000.35EC,2013-09-18 15:13:52.29,76
0014.4F01.0000.7811,2013-09-18 15:13:52.165,75
0014.4F01.0000.3560,2013-09-18 15:13:54.845,79
0014.4F01.0000.7B36,2013-09-18 15:13:57.41,73
0014.4F01.0000.7811,2013-09-18 15:13:55.166,75
0014.4F01.0000.45B2,2013-09-18 15:13:59.233,79
0014.4F01.0000.3560,2013-09-18 15:13:57.846,78
0014.4F01.0000.35EC,2013-09-18 15:13:58.292,77
0014.4F01.0000.7B36,2013-09-18 15:14:00.411,73
0014.4F01.0000.7811,2013-09-18 15:13:58.167,75
0014.4F01.0000.45B2,2013-09-18 15:14:02.234,79
0014.4F01.0000.3560,2013-09-18 15:14:00.847,78
0014.4F01.0000.35EC,2013-09-18 15:14:01.294,77
0014.4F01.0000.7B36,2013-09-18 15:14:03.412,73
0014.4F01.0000.7811,2013-09-18 15:14:01.168,75
0014.4F01.0000.45B2,2013-09-18 15:14:05.235,79
0014.4F01.0000.3560,2013-09-18 15:14:03.848,78
0014.4F01.0000.35EC,2013-09-18 15:14:04.295,77
0014.4F01.0000.7B36,2013-09-18 15:14:06.413,73
0014.4F01.0000.7811,2013-09-18 15:14:04.169,75
0014.4F01.0000.45B2,2013-09-18 15:14:08.236,79
0014.4F01.0000.3560,2013-09-18 15:14:06.849,79
0014.4F01.0000.35EC,2013-09-18 15:14:07.296,77
0014.4F01.0000.7B36,2013-09-18 15:14:09.414,73
0014.4F01.0000.7811,2013-09-18 15:14:07.17,75
0014.4F01.0000.3560,2013-09-18 15:14:09.85,78
0014.4F01.0000.35EC,2013-09-18 15:14:10.297,77
0014.4F01.0000.7B36,2013-09-18 15:14:12.415,73
0014.4F01.0000.7811,2013-09-18 15:14:10.171,76
0014.4F01.0000.3560,2013-09-18 15:14:12.851,78
0014.4F01.0000.35EC,2013-09-18 15:14:13.298,77
0014.4F01.0000.7811,2013-09-18 15:14:13.172,76
0014.4F01.0000.3560,2013-09-18 15:14:15.853,78
0014.4F01.0000.35EC,2013-09-18 15:14:16.299,78
0014.4F01.0000.7811,2013-09-18 15:14:16.173,76
0014.4F01.0000.3560,2013-09-18 15:14:18.854,79
0014.4F01.0000.3560,2013-09-18 15:14:21.855,79
0014.4F01.0000.7B36,2013-09-18 15:14:38.696,73
0014.4F01.0000.7B36,2013-09-18 15:14:41.697,73
0014.4F01.0000.7B36,2013-09-18 15:14:44.698,73
0014.4F01.0000.7B36,2013-09-18 15:14:47.699,73
0014.4F01.0000.7B36,2013-09-18 15:14:50.7,73
0014.4F01.0000.7B36,2013-09-18 15:14:53.701,73
0014.4F01.0000.7B36,2013-09-18 15:14:56.702,73
0014.4F01.0000.7B36,2013-09-18 15:14:59.703,74
0014.4F01.0000.7B36,2013-09-18 15:15:02.704,74
0014.4F01.0000.7B36,2013-09-18 15:15:05.705,74
0014.4F01.0000.7B36,2013-09-18 15:15:08.706,74
