address,time,value
0014.4F01.0000.3560,2013-09-19 11:58:15.32,79
0014.4F01.0000.7811,2013-09-19 11:58:15.422,76
0014.4F01.0000.35EC,2013-09-19 11:58:15.72,79
0014.4F01.0000.3560,2013-09-19 11:58:18.321,77
0014.4F01.0000.7811,2013-09-19 11:58:18.423,74
0014.4F01.0000.35EC,2013-09-19 11:58:18.722,79
0014.4F01.0000.3560,2013-09-19 11:58:21.322,78
0014.4F01.0000.7811,2013-09-19 11:58:21.424,74
0014.4F01.0000.35EC,2013-09-19 11:58:21.723,78
0014.4F01.0000.3560,2013-09-19 11:58:24.324,78
0014.4F01.0000.7811,2013-09-19 11:58:24.425,74
0014.4F01.0000.35EC,2013-09-19 11:58:24.725,79
0014.4F01.0000.3560,2013-09-19 11:58:27.325,79
0014.4F01.0000.7811,2013-09-19 11:58:27.425,75
0014.4F01.0000.35EC,2013-09-19 11:58:27.726,79
0014.4F01.0000.3560,2013-09-19 11:58:30.326,78
0014.4F01.0000.7811,2013-09-19 11:58:30.426,74
0014.4F01.0000.35EC,2013-09-19 11:58:30.727,79
0014.4F01.0000.3560,2013-09-19 11:58:33.328,78
0014.4F01.0000.7811,2013-09-19 11:58:33.427,74
0014.4F01.0000.35EC,2013-09-19 11:58:33.728,79
0014.4F01.0000.3560,2013-09-19 11:58:36.329,78
0014.4F01.0000.7811,2013-09-19 11:58:36.428,74
0014.4F01.0000.35EC,2013-09-19 11:58:36.729,79
0014.4F01.0000.3560,2013-09-19 11:58:39.33,79
0014.4F01.0000.7811,2013-09-19 11:58:39.429,76
0014.4F01.0000.35EC,2013-09-19 11:58:39.73,79
0014.4F01.0000.3560,2013-09-19 11:58:42.331,79
0014.4F01.0000.7811,2013-09-19 11:58:42.43,75
0014.4F01.0000.35EC,2013-09-19 11:58:42.731,79
0014.4F01.0000.3560,2013-09-19 11:58:45.332,78
0014.4F01.0000.7811,2013-09-19 11:58:45.433,75
0014.4F01.0000.35EC,2013-09-19 11:58:45.732,80
0014.4F01.0000.3560,2013-09-19 11:58:48.333,78
0014.4F01.0000.7811,2013-09-19 11:58:48.434,74
0014.4F01.0000.35EC,2013-09-19 11:58:48.733,80
0014.4F01.0000.3560,2013-09-19 11:58:51.334,78
0014.4F01.0000.7811,2013-09-19 11:58:51.436,75
0014.4F01.0000.35EC,2013-09-19 11:58:51.734,80
0014.4F01.0000.3560,2013-09-19 11:58:54.336,79
0014.4F01.0000.7811,2013-09-19 11:58:54.437,76
0014.4F01.0000.35EC,2013-09-19 11:58:54.735,79
0014.4F01.0000.3560,2013-09-19 11:58:57.337,79
0014.4F01.0000.7811,2013-09-19 11:58:57.438,76
0014.4F01.0000.35EC,2013-09-19 11:58:57.737,79
0014.4F01.0000.3560,2013-09-19 11:59:00.338,78
0014.4F01.0000.7811,2013-09-19 11:59:00.439,75
0014.4F01.0000.35EC,2013-09-19 11:59:00.738,79
0014.4F01.0000.3560,2013-09-19 11:59:03.34,78
0014.4F01.0000.7811,2013-09-19 11:59:03.44,75
0014.4F01.0000.35EC,2013-09-19 11:59:03.739,79
0014.4F01.0000.3560,2013-09-19 11:59:06.34,79
0014.4F01.0000.7811,2013-09-19 11:59:06.442,75
0014.4F01.0000.35EC,2013-09-19 11:59:06.74,80
0014.4F01.0000.3560,2013-09-19 11:59:09.341,79
0014.4F01.0000.7811,2013-09-19 11:59:09.443,75
0014.4F01.0000.35EC,2013-09-19 11:59:09.741,79
0014.4F01.0000.3560,2013-09-19 11:59:12.342,78
0014.4F01.0000.7811,2013-09-19 11:59:12.444,76
0014.4F01.0000.35EC,2013-09-19 11:59:12.742,79
0014.4F01.0000.3560,2013-09-19 11:59:15.347,78
0014.4F01.0000.7811,2013-09-19 11:59:15.445,76
0014.4F01.0000.35EC,2013-09-19 11:59:15.743,79
0014.4F01.0000.3560,2013-09-19 11:59:18.348,79
0014.4F01.0000.7811,2013-09-19 11:59:18.446,76
0014.4F01.0000.35EC,2013-09-19 11:59:18.744,79
0014.4F01.0000.3560,2013-09-19 11:59:21.349,78
0014.4F01.0000.35EC,2013-09-19 11:59:21.746,79
0014.4F01.0000.3560,2013-09-19 11:59:24.35,79
0014.4F01.0000.7811,2013-09-19 11:59:24.448,77
0014.4F01.0000.35EC,2013-09-19 11:59:24.747,78
0014.4F01.0000.3560,2013-09-19 11:59:27.351,78
0014.4F01.0000.7811,2013-09-19 11:59:27.448,76
0014.4F01.0000.35EC,2013-09-19 11:59:27.748,79
0014.4F01.0000.3560,2013-09-19 11:59:30.352,79
0014.4F01.0000.7811,2013-09-19 11:59:30.448,76
0014.4F01.0000.35EC,2013-09-19 11:59:30.749,79
0014.4F01.0000.3560,2013-09-19 11:59:33.353,79
0014.4F01.0000.7811,2013-09-19 11:59:33.449,76
0014.4F01.0000.35EC,2013-09-19 11:59:33.75,79
0014.4F01.0000.3560,2013-09-19 11:59:36.355,79
0014.4F01.0000.7811,2013-09-19 11:59:36.45,77
0014.4F01.0000.35EC,2013-09-19 11:59:36.751,79
0014.4F01.0000.3560,2013-09-19 11:59:39.356,78
0014.4F01.0000.7811,2013-09-19 11:59:39.451,75
0014.4F01.0000.35EC,2013-09-19 11:59:39.753,79
0014.4F01.0000.3560,2013-09-19 11:59:42.357,78
0014.4F01.0000.7811,2013-09-19 11:59:42.452,77
0014.4F01.0000.35EC,2013-09-19 11:59:42.754,79
0014.4F01.0000.3560,2013-09-19 11:59:45.359,78
0014.4F01.0000.7811,2013-09-19 11:59:45.453,76
0014.4F01.0000.35EC,2013-09-19 11:59:45.755,79
0014.4F01.0000.3560,2013-09-19 11:59:48.361,79
0014.4F01.0000.7811,2013-09-19 11:59:48.454,77
0014.4F01.0000.35EC,2013-09-19 11:59:48.757,79
0014.4F01.0000.3560,2013-09-19 11:59:51.362,78
0014.4F01.0000.7811,2013-09-19 11:59:51.455,75
0014.4F01.0000.35EC,2013-09-19 11:59:51.758,79
0014.4F01.0000.3560,2013-09-19 11:59:54.363,78
0014.4F01.0000.7811,2013-09-19 11:59:54.456,76
0014.4F01.0000.35EC,2013-09-19 11:59:54.759,79
0014.4F01.0000.3560,2013-09-19 11:59:57.364,78
0014.4F01.0000.7811,2013-09-19 11:59:57.457,75
0014.4F01.0000.35EC,2013-09-19 11:59:57.76,80
0014.4F01.0000.3560,2013-09-19 12:00:00.365,79
0014.4F01.0000.7811,2013-09-19 12:00:00.458,76
0014.4F01.0000.35EC,2013-09-19 12:00:00.761,80
0014.4F01.0000.3560,2013-09-19 12:00:03.366,79
0014.4F01.0000.7811,2013-09-19 12:00:03.459,76
0014.4F01.0000.35EC,2013-09-19 12:00:03.763,79
0014.4F01.0000.3560,2013-09-19 12:00:06.367,78
0014.4F01.0000.7811,2013-09-19 12:00:06.46,76
0014.4F01.0000.35EC,2013-09-19 12:00:06.764,80
0014.4F01.0000.3560,2013-09-19 12:00:09.369,78
0014.4F01.0000.7811,2013-09-19 12:00:09.461,77
0014.4F01.0000.35EC,2013-09-19 12:00:09.765,80
0014.4F01.0000.3560,2013-09-19 12:00:12.371,79
0014.4F01.0000.7811,2013-09-19 12:00:12.462,75
0014.4F01.0000.35EC,2013-09-19 12:00:12.766,80
0014.4F01.0000.3560,2013-09-19 12:00:15.372,79
0014.4F01.0000.7811,2013-09-19 12:00:15.463,76
0014.4F01.0000.35EC,2013-09-19 12:00:15.767,80
0014.4F01.0000.3560,2013-09-19 12:00:18.373,79
0014.4F01.0000.7811,2013-09-19 12:00:18.464,76
0014.4F01.0000.35EC,2013-09-19 12:00:18.768,80
0014.4F01.0000.3560,2013-09-19 12:00:21.374,78
0014.4F01.0000.7811,2013-09-19 12:00:21.465,77
0014.4F01.0000.35EC,2013-09-19 12:00:21.769,80
0014.4F01.0000.3560,2013-09-19 12:00:24.375,78
0014.4F01.0000.7811,2013-09-19 12:00:24.466,77
0014.4F01.0000.35EC,2013-09-19 12:00:24.77,80
0014.4F01.0000.3560,2013-09-19 12:00:27.376,79
0014.4F01.0000.7811,2013-09-19 12:00:27.467,77
0014.4F01.0000.35EC,2013-09-19 12:00:27.772,80
0014.4F01.0000.3560,2013-09-19 12:00:30.377,78
0014.4F01.0000.7811,2013-09-19 12:00:30.467,77
0014.4F01.0000.35EC,2013-09-19 12:00:30.773,80
0014.4F01.0000.3560,2013-09-19 12:00:33.378,78
0014.4F01.0000.7811,2013-09-19 12:00:33.468,77
0014.4F01.0000.35EC,2013-09-19 12:00:33.774,79
0014.4F01.0000.3560,2013-09-19 12:00:36.379,78
0014.4F01.0000.7811,2013-09-19 12:00:36.469,77
0014.4F01.0000.35EC,2013-09-19 12:00:36.775,79
0014.4F01.0000.3560,2013-09-19 12:00:39.381,79
0014.4F01.0000.7811,2013-09-19 12:00:39.47,77
0014.4F01.0000.35EC,2013-09-19 12:00:39.777,79
0014.4F01.0000.3560,2013-09-19 12:00:42.382,78
0014.4F01.0000.7811,2013-09-19 12:00:42.471,76
0014.4F01.0000.35EC,2013-09-19 12:00:42.778,79
0014.4F01.0000.3560,2013-09-19 12:00:45.383,78
0014.4F01.0000.7811,2013-09-19 12:00:45.472,76
0014.4F01.0000.35EC,2013-09-19 12:00:45.779,79
0014.4F01.0000.3560,2013-09-19 12:00:48.385,79
0014.4F01.0000.7811,2013-09-19 12:00:48.472,77
0014.4F01.0000.35EC,2013-09-19 12:00:48.78,79
0014.4F01.0000.3560,2013-09-19 12:00:51.386,79
0014.4F01.0000.7811,2013-09-19 12:00:51.473,75
0014.4F01.0000.35EC,2013-09-19 12:00:51.781,79
0014.4F01.0000.3560,2013-09-19 12:00:54.387,79
0014.4F01.0000.7811,2013-09-19 12:00:54.474,76
0014.4F01.0000.35EC,2013-09-19 12:00:54.782,79
0014.4F01.0000.3560,2013-09-19 12:00:57.388,78
0014.4F01.0000.7811,2013-09-19 12:00:57.475,76
0014.4F01.0000.35EC,2013-09-19 12:00:57.783,79
0014.4F01.0000.3560,2013-09-19 12:01:00.389,79
0014.4F01.0000.7811,2013-09-19 12:01:00.476,77
0014.4F01.0000.35EC,2013-09-19 12:01:00.784,80
0014.4F01.0000.3560,2013-09-19 12:01:03.39,78
0014.4F01.0000.7811,2013-09-19 12:01:03.477,77
0014.4F01.0000.35EC,2013-09-19 12:01:03.785,79
0014.4F01.0000.3560,2013-09-19 12:01:06.392,79
0014.4F01.0000.7811,2013-09-19 12:01:06.477,76
