address,time,value
0014.4F01.0000.7811,2013-09-18 21:41:59.631,23
0014.4F01.0000.35EC,2013-09-18 21:42:00.262,24
0014.4F01.0000.3560,2013-09-18 21:42:02.902,25
0014.4F01.0000.7811,2013-09-18 21:42:02.632,23
0014.4F01.0000.35EC,2013-09-18 21:42:03.263,24
0014.4F01.0000.3560,2013-09-18 21:42:05.903,24
0014.4F01.0000.7811,2013-09-18 21:42:05.633,23
0014.4F01.0000.35EC,2013-09-18 21:42:06.264,24
0014.4F01.0000.3560,2013-09-18 21:42:08.904,24
0014.4F01.0000.7811,2013-09-18 21:42:08.634,23
0014.4F01.0000.35EC,2013-09-18 21:42:09.265,24
0014.4F01.0000.3560,2013-09-18 21:42:11.905,24
0014.4F01.0000.7811,2013-09-18 21:42:11.635,23
0014.4F01.0000.35EC,2013-09-18 21:42:12.266,24
0014.4F01.0000.3560,2013-09-18 21:42:14.906,24
0014.4F01.0000.7811,2013-09-18 21:42:14.636,23
0014.4F01.0000.3560,2013-09-18 21:42:17.907,24
0014.4F01.0000.7811,2013-09-18 21:42:17.637,23
0014.4F01.0000.3560,2013-09-18 21:42:20.908,24
0014.4F01.0000.3560,2013-09-18 21:42:23.909,24
0014.4F01.0000.3560,2013-09-18 21:42:26.91,24
