address,time,value0014.4F01.0000.3560,2013-09-18 19:32:44.518,33
0014.4F01.0000.3560,2013-09-18 19:32:47.519,32
0014.4F01.0000.3560,2013-09-18 19:32:50.52,33
0014.4F01.0000.3560,2013-09-18 19:32:53.521,33
0014.4F01.0000.3560,2013-09-18 19:32:56.522,32
0014.4F01.0000.3560,2013-09-18 19:33:05.525,32
0014.4F01.0000.3560,2013-09-18 19:33:08.526,32
0014.4F01.0000.3560,2013-09-18 19:33:11.527,33
0014.4F01.0000.3560,2013-09-18 19:33:14.528,32
0014.4F01.0000.3560,2013-09-18 19:33:17.529,32
0014.4F01.0000.3560,2013-09-18 19:33:20.53,33
0014.4F01.0000.3560,2013-09-18 19:33:23.531,32
0014.4F01.0000.3560,2013-09-18 19:33:26.532,33
0014.4F01.0000.3560,2013-09-18 19:33:29.533,32
0014.4F01.0000.3560,2013-09-18 19:33:32.534,32
0014.4F01.0000.3560,2013-09-18 19:33:35.535,33
0014.4F01.0000.3560,2013-09-18 19:33:38.536,33
0014.4F01.0000.3560,2013-09-18 19:33:41.537,32
0014.4F01.0000.3560,2013-09-18 19:33:44.538,33
0014.4F01.0000.3560,2013-09-18 19:33:47.539,33
0014.4F01.0000.3560,2013-09-18 19:33:50.54,33
0014.4F01.0000.3560,2013-09-18 19:33:53.541,33
0014.4F01.0000.3560,2013-09-18 19:33:56.544,33
0014.4F01.0000.3560,2013-09-18 19:33:59.545,32
0014.4F01.0000.3560,2013-09-18 19:34:02.546,33
0014.4F01.0000.3560,2013-09-18 19:34:05.547,32
0014.4F01.0000.3560,2013-09-18 19:34:08.55,32
0014.4F01.0000.3560,2013-09-18 19:34:11.551,33
0014.4F01.0000.3560,2013-09-18 19:34:14.552,32
0014.4F01.0000.3560,2013-09-18 19:34:17.553,33
0014.4F01.0000.3560,2013-09-18 19:34:20.556,32
0014.4F01.0000.3560,2013-09-18 19:34:23.557,32
0014.4F01.0000.3560,2013-09-18 19:34:32.562,32
0014.4F01.0000.3560,2013-09-18 19:34:35.563,33
0014.4F01.0000.3560,2013-09-18 19:34:38.564,32
0014.4F01.0000.3560,2013-09-18 19:34:41.565,32
0014.4F01.0000.3560,2013-09-18 19:34:44.568,33
0014.4F01.0000.3560,2013-09-18 19:34:47.569,32
0014.4F01.0000.3560,2013-09-18 19:34:50.57,33
0014.4F01.0000.3560,2013-09-18 19:34:53.571,33
0014.4F01.0000.3560,2013-09-18 19:34:56.572,32
0014.4F01.0000.3560,2013-09-18 19:34:59.573,33
0014.4F01.0000.3560,2013-09-18 19:35:02.574,33
0014.4F01.0000.3560,2013-09-18 19:35:05.575,32
