time,0014.4F01.0000.3560,0014.4F01.0000.7811,0014.4F01.0000.35EC
2013-09-17 21:08:06.099,,69,
2013-09-17 21:08:06.979,,,80
2013-09-17 21:08:08.458,74,,
2013-09-17 21:08:09.1,,69,
2013-09-17 21:08:09.98,,,80
2013-09-17 21:08:11.459,73,,
2013-09-17 21:08:12.101,,69,
2013-09-17 21:08:12.981,,,80
2013-09-17 21:08:14.462,74,,
2013-09-17 21:08:15.102,,69,
2013-09-17 21:08:15.983,,,80
2013-09-17 21:08:17.465,74,,
2013-09-17 21:08:18.103,,69,
2013-09-17 21:08:18.985,,,80
2013-09-17 21:08:20.466,74,,
2013-09-17 21:08:21.104,,69,
2013-09-17 21:08:21.986,,,80
2013-09-17 21:08:23.468,73,,
2013-09-17 21:08:24.105,,69,
2013-09-17 21:08:24.987,,,80
2013-09-17 21:08:26.47,73,,
2013-09-17 21:08:27.106,,69,
2013-09-17 21:08:27.988,,,80
2013-09-17 21:08:29.474,74,,
2013-09-17 21:08:30.107,,69,
2013-09-17 21:08:30.989,,,81
2013-09-17 21:08:32.475,74,,
2013-09-17 21:08:33.108,,69,
2013-09-17 21:08:33.99,,,81
2013-09-17 21:08:35.476,74,,
2013-09-17 21:08:36.109,,69,
2013-09-17 21:08:36.991,,,81
2013-09-17 21:08:38.477,74,,
2013-09-17 21:08:39.11,,69,
2013-09-17 21:08:39.992,,,81
2013-09-17 21:08:41.48,75,,
2013-09-17 21:08:42.111,,69,
2013-09-17 21:08:42.993,,,81
2013-09-17 21:08:44.481,73,,
2013-09-17 21:08:45.112,,69,
2013-09-17 21:08:45.995,,,80
2013-09-17 21:08:47.482,74,,
2013-09-17 21:08:48.113,,69,
2013-09-17 21:08:48.996,,,80
2013-09-17 21:08:50.483,74,,
2013-09-17 21:08:51.114,,69,
2013-09-17 21:08:51.998,,,80
2013-09-17 21:08:53.486,74,,
2013-09-17 21:08:54.115,,69,
2013-09-17 21:08:54.999,,,80
2013-09-17 21:08:56.487,73,,
2013-09-17 21:08:57.116,,69,
2013-09-17 21:08:58.0,,,80
2013-09-17 21:08:59.489,73,,
2013-09-17 21:09:00.117,,69,
2013-09-17 21:09:01.002,,,79
2013-09-17 21:09:02.49,74,,
2013-09-17 21:09:03.118,,69,
2013-09-17 21:09:04.003,,,79
2013-09-17 21:09:05.491,74,,
2013-09-17 21:09:06.119,,69,
2013-09-17 21:09:07.004,,,80
2013-09-17 21:09:08.492,74,,
2013-09-17 21:09:09.121,,69,
2013-09-17 21:09:10.006,,,80
2013-09-17 21:09:11.493,73,,
2013-09-17 21:09:12.122,,69,
2013-09-17 21:09:13.008,,,79
2013-09-17 21:09:14.494,73,,
2013-09-17 21:09:15.123,,69,
2013-09-17 21:09:16.009,,,79
2013-09-17 21:09:17.496,73,,
2013-09-17 21:09:18.124,,69,
2013-09-17 21:09:19.01,,,80
2013-09-17 21:09:20.497,75,,
2013-09-17 21:09:21.125,,69,
2013-09-17 21:09:22.011,,,80
2013-09-17 21:09:23.499,74,,
2013-09-17 21:09:24.126,,69,
2013-09-17 21:09:25.012,,,79
2013-09-17 21:09:26.5,73,,
2013-09-17 21:09:27.127,,69,
2013-09-17 21:09:28.013,,,79
2013-09-17 21:09:29.501,73,,
2013-09-17 21:09:30.128,,69,
2013-09-17 21:09:31.014,,,78
2013-09-17 21:09:32.503,73,,
2013-09-17 21:09:33.129,,69,
2013-09-17 21:09:34.016,,,78
2013-09-17 21:09:35.507,74,,
2013-09-17 21:09:36.13,,69,
2013-09-17 21:09:37.017,,,78
2013-09-17 21:09:38.508,74,,
2013-09-17 21:09:39.131,,69,
2013-09-17 21:09:40.018,,,78
2013-09-17 21:09:41.509,74,,
2013-09-17 21:09:42.132,,69,
2013-09-17 21:09:43.019,,,78
2013-09-17 21:09:44.51,73,,
2013-09-17 21:09:45.133,,69,
