address,time,value
0014.4F01.0000.7811,2013-09-18 14:07:56.794,76
0014.4F01.0000.35EC,2013-09-18 14:07:58.849,79
0014.4F01.0000.3560,2013-09-18 14:07:59.034,78
0014.4F01.0000.7811,2013-09-18 14:07:59.795,76
0014.4F01.0000.35EC,2013-09-18 14:08:01.85,79
0014.4F01.0000.3560,2013-09-18 14:08:02.036,78
0014.4F01.0000.7811,2013-09-18 14:08:02.796,76
0014.4F01.0000.35EC,2013-09-18 14:08:04.851,79
0014.4F01.0000.3560,2013-09-18 14:08:05.038,77
0014.4F01.0000.7811,2013-09-18 14:08:05.797,76
0014.4F01.0000.35EC,2013-09-18 14:08:07.852,79
0014.4F01.0000.3560,2013-09-18 14:08:08.039,78
0014.4F01.0000.7811,2013-09-18 14:08:08.798,76
0014.4F01.0000.35EC,2013-09-18 14:08:10.853,79
0014.4F01.0000.3560,2013-09-18 14:08:11.04,78
0014.4F01.0000.7811,2013-09-18 14:08:11.799,76
0014.4F01.0000.35EC,2013-09-18 14:08:13.854,79
0014.4F01.0000.3560,2013-09-18 14:08:14.041,77
0014.4F01.0000.7811,2013-09-18 14:08:14.8,76
0014.4F01.0000.35EC,2013-09-18 14:08:16.855,79
0014.4F01.0000.3560,2013-09-18 14:08:17.042,77
0014.4F01.0000.7811,2013-09-18 14:08:17.801,76
0014.4F01.0000.35EC,2013-09-18 14:08:19.856,79
0014.4F01.0000.3560,2013-09-18 14:08:20.043,78
0014.4F01.0000.7811,2013-09-18 14:08:20.802,76
0014.4F01.0000.35EC,2013-09-18 14:08:22.857,78
0014.4F01.0000.3560,2013-09-18 14:08:23.045,78
0014.4F01.0000.7811,2013-09-18 14:08:23.803,76
0014.4F01.0000.35EC,2013-09-18 14:08:25.858,79
0014.4F01.0000.3560,2013-09-18 14:08:26.046,78
0014.4F01.0000.7811,2013-09-18 14:08:26.804,76
0014.4F01.0000.35EC,2013-09-18 14:08:28.859,79
0014.4F01.0000.3560,2013-09-18 14:08:29.047,77
0014.4F01.0000.7811,2013-09-18 14:08:29.805,76
0014.4F01.0000.35EC,2013-09-18 14:08:31.86,79
0014.4F01.0000.3560,2013-09-18 14:08:32.048,78
0014.4F01.0000.7811,2013-09-18 14:08:32.806,76
0014.4F01.0000.35EC,2013-09-18 14:08:34.861,79
0014.4F01.0000.3560,2013-09-18 14:08:35.049,79
0014.4F01.0000.7811,2013-09-18 14:08:35.807,76
0014.4F01.0000.35EC,2013-09-18 14:08:37.862,79
0014.4F01.0000.3560,2013-09-18 14:08:38.05,78
0014.4F01.0000.7811,2013-09-18 14:08:38.808,76
0014.4F01.0000.35EC,2013-09-18 14:08:40.863,79
0014.4F01.0000.3560,2013-09-18 14:08:41.052,77
0014.4F01.0000.7811,2013-09-18 14:08:41.809,76
0014.4F01.0000.35EC,2013-09-18 14:08:43.864,78
0014.4F01.0000.3560,2013-09-18 14:08:44.053,77
0014.4F01.0000.7811,2013-09-18 14:08:44.81,76
0014.4F01.0000.35EC,2013-09-18 14:08:46.868,78
0014.4F01.0000.3560,2013-09-18 14:08:47.054,78
0014.4F01.0000.7811,2013-09-18 14:08:47.811,76
0014.4F01.0000.35EC,2013-09-18 14:08:49.87,78
