1386381617478,88,164,83,191,1810,1300,191
1386381617732,88,236,84,241,1760,1300,191
1386381617989,86,196,85,185,1700,1300,191
1386381618247,83,215,85,255,1650,1300,191
1386381618502,83,255,84,180,1590,1300,191
1386381618761,78,127,83,255,1520,1300,191
1386381619025,75,128,81,146,1420,1300,191
1386381619283,71,128,78,144,1350,1300,191
1386381619540,61,128,74,149,1250,1300,191
1386381619797,125,130,77,149,1140,1300,191
1386381620058,141,129,181,150,1200,1300,191
1386381620314,255,129,147,151,1260,1300,191
1386381620571,255,127,212,148,1320,1300,191
1386381620828,255,119,255,141,1400,1300,191
1386381621084,255,119,255,139,1450,1300,191
1386381621340,255,115,255,133,1510,1300,191
1386381621602,150,118,255,145,1590,1300,191
1386381621859,255,112,255,124,1600,1300,191
1386381622117,255,107,255,123,1690,1300,191
1386381622374,255,101,255,118,1760,1300,191
1386381622631,255,102,255,116,1800,1300,191
1386381622891,177,102,255,115,1850,1300,191
1386381623146,84,108,255,117,1770,1300,191
1386381623403,76,112,195,119,1700,1300,191
1386381623668,71,118,77,127,1830,1300,191
1386381623926,68,122,72,127,1760,1300,191
1386381624184,62,129,69,139,1690,1300,191
1386381624441,55,126,66,149,1650,1300,191
1386381624698,48,200,60,152,1570,1300,191
1386381624955,42,134,53,163,1490,1300,191
1386381625215,35,192,46,168,1410,1300,191
1386381625473,26,255,39,153,1320,1300,191
1386381625729,20,231,34,255,1250,1300,191
1386381625986,18,187,30,152,1190,1300,191
1386381626243,17,195,26,198,1130,1300,191
1386381626499,16,84,23,166,1100,1300,191
1386381626753,16,121,21,171,1100,1300,191
1386381627008,17,141,20,162,1100,1300,191
1386381627264,19,255,20,221,1190,1300,191
1386381627522,24,219,22,178,1250,1300,191
1386381627778,31,144,26,161,1290,1300,191
1386381628035,37,122,31,159,1400,1300,191
1386381628298,42,125,36,158,1480,1300,191
1386381628555,48,122,41,160,1550,1300,191
1386381628813,54,132,46,148,1580,1300,191
1386381629070,60,242,52,146,1700,1300,191
1386381629327,65,193,57,207,1770,1300,191
1386381629582,68,145,62,156,1750,1300,191
1386381629841,70,141,66,173,1760,1300,191
1386381630098,70,139,68,255,1710,1300,191
1386381630355,70,211,69,144,1660,1300,191
1386381630615,70,173,70,199,1610,1300,191
1386381630873,69,179,70,206,1550,1300,191
1386381631135,68,215,69,197,1490,1300,191
1386381631396,67,164,69,255,1440,1300,191
1386381631653,67,102,70,159,1390,1300,191
1386381631911,67,118,70,162,1380,1300,191
1386381632165,67,110,69,127,1370,1300,191
1386381632422,67,114,68,129,1420,1300,191
1386381632676,69,113,69,123,1450,1300,191
1386381632943,68,120,70,138,1400,1300,191
1386381633200,69,116,69,125,1450,1300,191
1386381633458,72,112,71,123,1520,1300,191
1386381633712,73,108,73,122,1500,1300,191
1386381633968,74,108,74,119,1470,1300,191
1386381634226,76,106,74,123,1530,1300,191
1386381634482,76,106,75,117,1550,1300,191
1386381634740,76,106,78,123,1500,1300,191
1386381634999,79,105,77,116,1560,1300,191
1386381635263,78,104,79,117,1510,1300,191
1386381635517,79,105,79,116,1510,1300,191
1386381635776,78,106,79,116,1480,1300,191
1386381636031,79,105,80,116,1460,1300,191
1386381636285,78,105,80,116,1440,1300,191
1386381636537,78,107,80,120,1420,1300,191
1386381636792,79,104,80,106,1470,1300,191
1386381637047,79,105,80,117,1480,1300,191
1386381637304,76,106,79,113,1410,1300,191
1386381637558,79,105,81,116,1440,1300,191
1386381637822,80,103,80,113,1490,1300,191
1386381638080,80,100,78,112,1540,1300,191
1386381638338,82,113,77,112,1590,1300,191
1386381638598,87,135,79,122,1650,1300,191
1386381638858,86,120,78,132,1700,1300,191
1386381639116,84,115,86,145,1710,1300,191
1386381639373,82,106,83,115,1610,1300,191
1386381639630,76,120,80,134,1530,1300,191
1386381639889,74,118,79,118,1470,1300,191
1386381640146,72,115,77,122,1410,1300,191
1386381640402,69,118,75,125,1350,1300,191
1386381640659,67,135,71,128,1280,1300,191
1386381640916,65,131,70,136,1220,1300,191
1386381641178,67,121,69,152,1320,1300,191
1386381641432,66,137,70,249,1310,1300,191
1386381641689,66,147,65,141,1310,1300,191
1386381641947,67,159,64,173,1360,1300,191
1386381642203,67,161,64,255,1460,1300,191
1386381642468,70,111,66,255,1520,1300,191
1386381642725,75,105,69,115,1540,1300,191
1386381642983,74,103,70,117,1600,1300,191
1386381643240,83,101,71,118,1660,1300,191
1386381643498,83,101,77,111,1740,1300,191
1386381643756,83,101,81,114,1700,1300,191
1386381644014,81,103,82,110,1640,1300,191
1386381644270,80,104,82,112,1590,1300,191
1386381644528,78,108,81,118,1530,1300,191
1386381644786,75,115,79,119,1460,1300,191
1386381645044,71,120,78,142,1440,1300,191
1386381645300,101,241,75,120,1470,1300,191
1386381645553,135,176,91,255,1470,1300,191
1386381645806,118,200,52,255,1470,1300,191
1386381646061,80,87,48,255,1430,1300,191
1386381646317,69,168,47,214,1490,1300,191
1386381646574,113,116,42,100,1380,1300,191
1386381646831,68,121,45,139,1370,1300,191
1386381647094,65,117,66,133,1470,1300,191
1386381647354,65,120,67,136,1420,1300,191
1386381647612,64,127,68,127,1360,1300,191
1386381647871,63,123,67,137,1310,1300,191
1386381648125,62,124,66,131,1290,1300,191
1386381648383,64,120,63,133,1340,1300,191
1386381648641,66,119,67,127,1410,1300,191
1386381648900,68,114,68,131,1470,1300,191
1386381649156,71,111,69,126,1530,1300,191
1386381649413,74,108,71,122,1590,1300,191
1386381649671,72,107,73,121,1540,1300,191
1386381650186,78,104,71,118,1540,1300,191
1386381650448,79,104,71,116,1600,1300,191
1386381650706,88,100,80,114,1680,1300,191
1386381650964,94,103,77,113,1710,1300,191
1386381651221,93,101,99,115,1740,1300,191
1386381651479,99,104,99,116,1700,1300,191
1386381651742,96,112,99,117,1640,1300,191
1386381651999,81,114,99,121,1510,1300,191
1386381652255,71,118,90,127,1420,1300,191
1386381652512,67,122,72,134,1360,1300,191
1386381652770,63,172,68,138,1340,1300,191
1386381653027,66,143,66,139,1360,1300,191
1386381653284,139,128,64,138,1190,1300,191
1386381653540,69,129,220,139,1240,1300,191
1386381653797,129,120,69,145,1400,1300,191
1386381654053,143,169,89,139,1310,1300,191
1386381654310,141,144,132,225,1820,1300,191
1386381654566,192,124,163,143,1400,1300,191
1386381654821,255,255,208,142,1600,1300,191
1386381655075,255,206,139,201,1600,1300,191
1386381655329,255,199,255,219,1600,1300,191
1386381655583,255,131,255,162,1600,1300,191
1386381655837,255,113,255,141,1600,1300,191
1386381656094,140,122,255,131,1370,1300,191
1386381656351,255,122,26,129,1420,1300,191
1386381656615,255,121,22,131,1490,1300,191
1386381656872,171,122,60,128,1530,1300,191
1386381657129,223,116,27,129,1620,1300,191
1386381657386,232,107,33,149,1820,1300,191
1386381657643,118,118,175,134,1730,1300,191
1386381657901,243,78,136,160,1900,1300,191
1386381658157,192,122,38,197,1650,1300,191
