time,LF,RF,LR,RR,setTurn,setSpeed,booleans,,,
1.39E+12,123,86,179,98,1790,1500,191,,2.65E+02,
1.39E+12,148,81,186,95,1790,1500,191,,2.71E+02,
1.39E+12,179,15,181,95,1790,1500,191,,2.68E+02,
1.39E+12,255,16,66,104,1790,1500,191,,2.74E+02,
1.39E+12,255,96,255,110,1790,1500,191,,2.82E+02,
1.39E+12,255,105,255,114,1790,1500,191,,2.76E+02,
1.39E+12,255,17,146,125,1790,1500,191,,2.77E+02,
1.39E+12,228,19,214,143,1790,1500,191,,2.70E+02,
1.39E+12,255,26,255,195,1790,1500,191,,2.73E+02,
1.39E+12,208,31,207,255,1790,1500,191,,2.76E+02,
1.39E+12,163,32,128,255,1790,1500,191,,2.73E+02,
1.39E+12,153,31,119,255,1790,1500,191,,2.79E+02,
1.39E+12,93,31,105,255,1790,1500,191,,2.80E+02,
1.39E+12,77,25,90,255,1790,1500,191,,2.85E+02,
1.39E+12,67,24,69,255,1790,1500,191,,2.90E+02,
1.39E+12,53,25,189,255,1790,1500,191,,2.78E+02,
1.39E+12,42,27,183,255,1790,1500,191,,2.76E+02,
1.39E+12,34,26,33,255,1790,1500,191,,2.79E+02,
1.39E+12,23,28,28,255,1790,1500,191,,2.84E+02,
1.39E+12,26,29,30,255,1790,1500,191,,2.74E+02,
1.39E+12,27,32,32,255,1790,1500,191,,2.66E+02,
1.39E+12,24,34,25,21,1790,1500,191,,2.66E+02,
1.39E+12,23,31,25,118,1790,1500,191,,2.67E+02,
1.39E+12,24,27,26,255,1790,1500,191,,2.66E+02,
1.39E+12,24,21,28,255,1790,1500,191,,2.69E+02,
1.39E+12,23,16,29,255,1790,1500,191,,2.72E+02,
1.39E+12,24,16,28,255,1790,1500,191,,2.71E+02,
1.39E+12,24,16,26,255,1790,1500,191,,2.69E+02,
1.39E+12,24,255,29,255,1790,1500,191,,2.68E+02,
1.39E+12,23,23,27,255,1790,1500,191,,2.78E+02,
1.39E+12,21,34,26,255,1790,1500,191,,2.70E+02,
1.39E+12,23,255,29,255,1790,1500,191,,2.66E+02,
1.39E+12,22,255,25,255,1790,1500,191,,2.69E+02,
1.39E+12,22,255,26,255,1790,1500,191,,2.65E+02,
1.39E+12,23,116,28,59,1790,1500,191,,2.71E+02,
1.39E+12,24,138,32,63,1790,1500,191,,2.69E+02,
1.39E+12,25,67,34,69,1790,1500,191,,2.68E+02,
1.39E+12,23,62,39,77,1790,1500,191,,2.70E+02,
1.39E+12,23,63,39,86,1790,1500,191,,2.70E+02,
1.39E+12,25,68,43,101,1790,1500,191,,2.64E+02,
1.39E+12,24,92,40,140,1790,1500,191,,5.33E+02,
1.39E+12,23,102,40,133,1790,1500,191,,2.69E+02,
1.39E+12,22,101,41,145,1790,1500,191,,2.66E+02,
1.39E+12,22,118,41,133,1790,1500,191,,2.73E+02,
1.39E+12,20,122,41,205,1790,1500,191,,2.67E+02,
1.39E+12,20,194,40,151,1790,1500,191,,2.65E+02,
1.39E+12,18,125,38,154,1790,1500,191,,2.66E+02,
1.39E+12,18,125,40,157,1790,1500,191,,2.64E+02,
1.39E+12,18,130,39,165,1790,1500,191,,2.65E+02,
1.39E+12,18,140,37,176,1790,1500,191,,2.68E+02,
1.39E+12,19,143,37,160,1790,1500,191,,2.66E+02,
1.39E+12,17,142,36,186,1790,1500,191,,2.66E+02,
1.39E+12,18,148,38,159,1790,1500,191,,2.69E+02,
1.39E+12,19,150,39,174,1790,1500,191,,2.71E+02,
1.39E+12,19,151,37,182,1790,1500,191,,2.65E+02,
1.39E+12,19,140,35,173,1790,1500,191,,2.68E+02,
1.39E+12,19,143,37,165,1790,1500,191,,2.65E+02,
1.39E+12,19,143,38,170,1790,1500,191,,2.65E+02,
1.39E+12,19,163,38,255,1790,1500,191,,2.69E+02,
1.39E+12,19,203,36,255,1790,1500,191,,2.73E+02,
1.39E+12,18,255,36,255,1790,1500,191,,2.64E+02,
1.39E+12,18,255,38,255,1790,1500,191,,2.67E+02,
1.39E+12,19,255,37,255,1790,1500,191,,2.69E+02,
1.39E+12,17,255,36,255,1790,1500,191,,2.65E+02,
1.39E+12,17,255,29,255,1790,1500,191,,2.69E+02,
1.39E+12,17,255,25,255,1790,1500,191,,2.66E+02,
1.39E+12,17,27,28,255,1790,1500,191,,2.67E+02,
1.39E+12,17,52,28,111,1790,1500,191,,2.68E+02,
1.39E+12,17,214,30,66,1790,1500,191,,2.67E+02,
1.39E+12,18,190,32,255,1790,1500,191,,2.65E+02,
1.39E+12,17,168,30,255,1790,1500,191,,2.65E+02,
1.39E+12,17,194,32,255,1790,1500,191,,2.65E+02,
1.39E+12,17,255,30,64,1790,1500,191,,2.65E+02,
1.39E+12,17,255,30,236,1790,1500,191,,2.65E+02,
1.39E+12,16,120,29,104,1790,1500,191,,2.76E+02,
1.39E+12,17,144,29,135,1790,1500,191,,2.71E+02,
1.39E+12,17,168,29,172,1790,1500,191,,2.67E+02,
1.39E+12,16,255,28,255,1790,1500,191,,2.66E+02,
1.39E+12,17,255,28,255,1790,1500,191,,2.67E+02,
1.39E+12,17,155,28,79,1790,1500,191,,2.65E+02,
1.39E+12,17,224,27,255,1790,1500,191,,2.70E+02,
1.39E+12,17,255,34,255,1790,1500,191,,2.69E+02,
1.39E+12,17,255,32,255,1790,1500,191,,2.65E+02,
1.39E+12,17,255,32,255,1790,1500,191,,2.64E+02,
1.39E+12,18,194,37,51,1790,1500,191,,2.66E+02,
1.39E+12,17,132,34,198,1790,1500,191,,2.69E+02,
1.39E+12,16,110,29,149,1790,1500,191,,2.65E+02,
1.39E+12,17,94,25,115,1790,1500,191,,2.64E+02,
1.39E+12,16,91,21,100,1790,1500,191,,2.67E+02,
1.39E+12,17,97,23,107,1790,1500,191,,2.74E+02,
1.39E+12,16,99,26,107,1790,1500,191,,2.72E+02,
1.39E+12,16,94,33,103,1790,1500,191,,2.74E+02,
1.39E+12,16,90,24,118,1790,1500,191,,2.72E+02,
1.39E+12,16,148,29,168,1790,1500,191,,2.65E+02,
1.39E+12,17,255,24,255,1790,1500,191,,2.65E+02,
1.39E+12,16,148,27,146,1790,1500,191,,2.67E+02,
1.39E+12,16,106,25,104,1790,1500,191,,2.66E+02,
1.39E+12,16,87,37,89,1790,1500,191,,2.74E+02,
1.39E+12,16,75,61,80,1790,1500,191,,2.78E+02,
1.39E+12,17,67,37,75,1790,1500,191,,2.79E+02,
1.39E+12,16,62,37,72,1790,1500,191,,2.73E+02,
1.39E+12,18,66,44,71,1790,1500,191,,2.74E+02,
1.39E+12,17,67,48,71,1790,1500,191,,2.67E+02,
1.39E+12,31,67,90,72,1790,1500,191,,2.73E+02,
1.39E+12,33,67,105,72,1790,1500,191,,2.78E+02,
1.39E+12,33,67,46,73,1790,1500,191,,2.70E+02,
1.39E+12,35,66,58,71,1790,1500,191,,2.68E+02,
1.39E+12,57,66,72,71,1790,1500,191,,2.67E+02,
1.39E+12,117,67,15,73,1790,1500,191,,2.69E+02,
1.39E+12,121,65,78,69,1790,1500,191,,2.68E+02,
1.39E+12,85,62,89,64,1790,1500,191,,2.71E+02,
1.39E+12,125,53,142,51,1790,1500,191,,2.75E+02,
1.39E+12,134,48,156,41,1790,1500,191,,2.70E+02,
1.39E+12,134,49,21,42,1790,1500,191,,2.66E+02,
1.39E+12,148,49,164,41,1790,1500,191,,2.68E+02,
1.39E+12,107,47,149,43,1790,1500,191,,2.69E+02,
1.39E+12,128,47,28,46,1790,1500,191,,2.69E+02,
1.39E+12,114,47,19,49,1790,1500,191,,2.69E+02,
1.39E+12,111,47,22,49,1790,1500,191,,2.65E+02,
1.39E+12,110,46,105,48,1790,1500,191,,2.73E+02,
1.39E+12,115,46,104,48,1790,1500,191,,2.76E+02,
1.39E+12,99,46,102,49,1790,1500,191,,2.67E+02,
1.39E+12,96,47,104,51,1790,1500,191,,2.73E+02,
1.39E+12,92,47,106,50,1790,1500,191,,2.68E+02,
1.39E+12,98,47,105,50,1790,1500,191,,2.70E+02,
1.39E+12,88,47,105,50,1790,1500,191,,2.73E+02,
1.39E+12,92,47,108,50,1790,1500,191,,2.64E+02,
1.39E+12,95,47,105,50,1790,1500,191,,2.69E+02,
1.39E+12,94,47,108,49,1790,1500,191,,2.66E+02,
1.39E+12,125,47,104,50,1790,1500,191,,2.68E+02,
1.39E+12,121,47,101,50,1790,1500,191,,2.70E+02,
1.39E+12,102,48,134,49,1790,1500,191,,2.69E+02,
1.39E+12,121,47,132,50,1790,1500,191,,2.68E+02,
1.39E+12,133,48,129,50,1790,1500,191,,2.68E+02,
1.39E+12,121,47,132,50,1790,1500,191,,2.71E+02,
1.39E+12,123,47,130,50,1790,1500,191,,2.76E+02,
1.39E+12,125,47,133,50,1790,1500,191,,2.72E+02,
1.39E+12,124,47,132,50,1520,1500,191,,2.72E+02,
1.39E+12,126,47,132,50,1520,1500,191,,2.70E+02,
1.39E+12,122,47,132,50,1520,1500,191,,2.72E+02,
1.39E+12,127,47,135,50,1520,1500,191,,2.70E+02,
1.39E+12,114,48,137,50,1520,1500,191,,2.71E+02,
1.39E+12,134,47,133,50,1520,1500,191,,2.69E+02,
1.39E+12,118,47,132,50,1520,1500,191,,2.69E+02,
1.39E+12,133,47,136,50,1520,1500,191,,2.68E+02,
1.39E+12,142,47,138,53,1520,1500,191,,2.77E+02,
1.39E+12,139,48,132,51,1520,1500,191,,2.70E+02,
1.39E+12,125,48,133,46,1520,1500,191,,2.73E+02,
1.39E+12,102,48,133,49,1520,1500,191,,2.71E+02,
1.39E+12,118,48,132,50,1520,1500,191,,2.75E+02,
1.39E+12,143,48,132,49,1520,1500,191,,2.76E+02,
1.39E+12,114,47,128,50,1520,1500,191,,2.71E+02,
1.39E+12,125,47,133,50,1520,1500,191,,2.70E+02,
1.39E+12,121,48,133,50,1520,1500,191,,2.69E+02,
1.39E+12,119,47,132,49,1520,1500,191,,2.68E+02,
1.39E+12,125,47,132,50,1520,1500,191,,2.66E+02,
1.39E+12,125,48,137,49,1520,1500,191,,2.69E+02,
1.39E+12,125,47,134,50,1520,1500,191,,2.69E+02,
1.39E+12,125,48,134,50,1520,1500,191,,2.71E+02,
1.39E+12,115,47,132,51,1520,1500,191,,2.73E+02,
1.39E+12,138,48,130,50,1520,1500,191,,2.69E+02,
1.39E+12,120,48,133,50,1520,1500,191,,2.69E+02,
1.39E+12,122,48,130,50,1520,1500,191,,2.66E+02,
1.39E+12,125,47,130,51,1520,1500,191,,2.77E+02,
1.39E+12,122,48,132,49,1520,1500,191,,2.78E+02,
1.39E+12,121,47,129,50,1520,1500,191,,2.72E+02,
1.39E+12,118,47,129,50,1180,1500,191,,2.88E+02,
1.39E+12,118,48,132,50,1180,1500,191,,2.68E+02,
1.39E+12,121,48,132,50,1180,1500,191,,2.72E+02,
1.39E+12,123,47,133,50,1180,1500,191,,2.66E+02,
1.39E+12,137,48,132,51,1180,1500,191,,2.68E+02,
1.39E+12,124,48,133,52,1180,1500,191,,2.73E+02,
1.39E+12,133,47,132,50,1180,1500,191,,2.71E+02,
1.39E+12,143,47,136,51,1180,1500,191,,2.66E+02,
1.39E+12,128,47,131,50,1180,1500,191,,2.68E+02,
1.39E+12,121,48,133,51,1180,1500,191,,2.68E+02,
1.39E+12,118,48,133,51,1180,1500,191,,2.69E+02,
1.39E+12,123,48,132,50,1180,1500,191,,2.68E+02,
1.39E+12,118,47,133,51,1180,1500,191,,2.65E+02,
1.39E+12,140,48,133,50,1540,1500,191,,2.81E+02,
1.39E+12,118,47,133,49,1540,1500,191,,2.68E+02,
1.39E+12,118,48,132,49,1540,1500,191,,2.68E+02,
1.39E+12,119,47,132,49,1540,1500,191,,2.69E+02,
1.39E+12,126,47,133,49,1540,1500,191,,2.69E+02,
1.39E+12,125,47,130,51,1540,1500,191,,2.68E+02,
1.39E+12,125,48,132,49,1540,1500,191,,2.68E+02,
1.39E+12,122,47,132,49,1540,1500,191,,2.72E+02,
1.39E+12,126,47,132,48,1540,1500,191,,2.66E+02,
1.39E+12,117,47,132,50,1540,1500,191,,2.72E+02,
1.39E+12,134,47,133,49,1540,1500,191,,2.70E+02,
1.39E+12,118,47,136,49,1540,1500,191,,2.72E+02,
1.39E+12,121,47,132,49,1540,1500,191,,2.65E+02,
1.39E+12,125,48,133,49,1540,1500,191,,2.69E+02,
1.39E+12,118,48,184,49,1540,1500,191,,2.77E+02,
1.39E+12,118,47,255,50,1540,1500,191,,2.66E+02,
1.39E+12,121,47,255,49,1540,1500,191,,2.68E+02,
1.39E+12,122,47,255,50,1540,1500,191,,2.67E+02,
1.39E+12,130,47,255,49,1540,1500,191,,2.66E+02,
1.39E+12,130,47,214,50,1540,1500,191,,2.70E+02,
1.39E+12,143,47,37,51,1540,1400,191,,2.68E+02,
1.39E+12,138,47,36,53,1540,1300,191,,2.73E+02,
1.39E+12,143,46,133,50,1540,1300,191,,2.79E+02,
1.39E+12,134,45,132,49,1540,1300,191,,2.70E+02,
1.39E+12,130,44,137,47,1540,1300,191,,2.75E+02,
1.39E+12,116,43,136,45,1540,1300,191,,2.67E+02,
1.39E+12,118,41,137,45,1540,1300,191,,2.66E+02,
1.39E+12,114,40,142,42,1540,1300,191,,2.67E+02,
1.39E+12,144,39,142,42,1540,1300,191,,2.75E+02,
1.39E+12,113,37,139,40,1540,1300,191,,2.68E+02,
1.39E+12,121,36,147,39,1540,1300,191,,2.65E+02,
1.39E+12,125,34,146,37,1650,1300,191,,2.71E+02,
1.39E+12,127,32,152,35,1650,1300,191,,2.64E+02,
1.39E+12,130,31,151,34,1650,1300,191,,2.68E+02,
1.39E+12,137,31,152,34,1650,1300,191,,2.69E+02,
1.39E+12,134,32,151,33,1650,1300,191,,2.67E+02,
1.39E+12,145,33,152,34,1650,1300,191,,2.66E+02,
1.39E+12,125,34,151,35,1650,1300,191,,2.66E+02,
1.39E+12,255,37,148,36,1410,1300,191,,2.75E+02,
1.39E+12,255,49,136,37,1410,1300,191,,2.74E+02,
1.39E+12,255,48,211,50,1410,1300,191,,2.83E+02,
1.39E+12,255,46,162,51,1410,1300,191,,2.68E+02,
1.39E+12,255,44,121,48,1410,1300,191,,2.79E+02,
1.39E+12,102,31,230,48,1410,1300,191,,2.77E+02,
1.39E+12,135,28,194,32,1510,1300,191,,2.80E+02,
1.39E+12,169,23,194,29,1510,1300,191,,2.66E+02,
1.39E+12,255,20,180,26,1510,1300,191,,2.69E+02,
1.39E+12,133,17,178,23,1510,1300,191,,2.70E+02,
1.39E+12,121,16,194,21,1510,1300,191,,2.68E+02,
1.39E+12,138,15,159,19,1510,1300,191,,2.63E+02,
1.39E+12,128,15,157,17,1510,1300,191,,2.64E+02,
1.39E+12,144,255,163,16,1000,1300,191,,2.69E+02,
1.39E+12,139,255,163,18,1000,1300,191,,2.66E+02,
1.39E+12,187,255,168,92,1000,1300,191,,2.65E+02,
1.39E+12,255,255,173,117,1000,1300,191,,2.76E+02,
1.39E+12,255,255,183,150,1000,1300,191,,5.41E+02,
1.39E+12,255,153,255,132,1000,1300,191,,2.69E+02,
1.39E+12,221,143,148,141,1000,1300,191,,2.74E+02,
1.39E+12,255,129,255,151,1000,1300,191,,2.69E+02,
1.39E+12,129,138,151,138,1000,1300,191,,2.70E+02,
1.39E+12,255,133,179,139,1000,1300,191,,2.68E+02,
1.39E+12,225,130,174,134,1000,1300,191,,2.72E+02,
1.39E+12,73,121,172,129,1000,1300,191,,2.68E+02,
1.39E+12,79,113,77,124,1000,1300,191,,2.75E+02,
1.39E+12,97,97,79,129,1000,1300,191,,2.87E+02,
1.39E+12,103,58,95,114,1000,1300,191,,2.79E+02,
1.39E+12,67,85,101,108,1000,1300,191,,2.77E+02,
1.39E+12,153,113,169,105,1000,1300,191,,2.77E+02,
1.39E+12,255,99,182,86,1670,1300,191,,2.81E+02,
1.39E+12,255,79,172,63,1670,1300,191,,2.79E+02,
1.39E+12,255,56,156,92,1670,1300,191,,2.85E+02,
1.39E+12,255,39,201,65,1670,1300,191,,2.72E+02,
1.39E+12,255,19,230,45,1670,1300,191,,2.69E+02,
1.39E+12,255,20,216,46,1670,1300,191,,2.64E+02,
1.39E+12,255,20,200,45,1670,1300,191,,2.68E+02,
1.39E+12,255,19,255,44,1670,1300,191,,2.65E+02,
1.39E+12,255,19,199,44,1670,1500,191,,2.72E+02,
1.39E+12,255,255,255,255,1670,1500,191,,2.64E+02,
1.39E+12,234,255,255,255,1670,1500,191,,2.69E+02,
1.39E+12,232,255,255,255,1670,1500,191,,2.63E+02,
1.39E+12,233,255,255,255,1670,1500,191,,2.67E+02,
1.39E+12,233,255,255,255,1670,1500,191,,2.62E+02,
1.39E+12,233,255,255,255,1670,1500,191,,2.61E+02,
1.39E+12,236,255,255,255,1670,1500,191,,2.61E+02,
1.39E+12,233,255,255,255,1670,1500,191,,2.62E+02,
1.39E+12,232,255,255,255,1670,1500,191,,2.75E+02,
1.39E+12,233,255,255,255,1670,1500,191,,2.62E+02,
1.39E+12,233,255,255,255,1670,1500,191,,2.64E+02,
1.39E+12,232,255,255,255,1670,1500,191,,2.63E+02,
1.39E+12,234,255,255,255,1670,1500,191,,2.63E+02,
1.39E+12,233,255,255,255,1670,1500,191,,2.67E+02,
1.39E+12,233,255,255,255,1670,1500,191,,2.61E+02,
1.39E+12,233,255,255,255,1670,1500,191,,2.63E+02,
1.39E+12,234,255,255,255,1670,1500,191,,2.62E+02,
1.39E+12,232,255,255,255,1670,1500,191,,2.64E+02,
